Student Id,Guardian ID,First name,Last name,Phone Number,Hours,Age,School,Guardian First Name,Guardian Last Name,Guardian Phone Number,,start,end 
8229744,4603964,Adam,Pike,713-552-6813,0,16,UCSD,Carter,Smith,504-583-9708,,2009-06-15T13:45:30,2009-06-15T13:45:40
9682941,4603964,Minnie ,Pike,619-952-6008,2,12,UCSD,Carter,Smith,504-583-9709,,2009-06-15T13:45:31,2009-06-15T13:45:41
9549804,4603964,Jacob,Pike,954-729-2336,1,13,UCSD,Carter,Smith,504-583-9710,,2009-06-15T13:45:32,2009-06-15T13:45:42
8054215,4603964,Brian,Pike,509-533-2228,1,4,SDSU,Carter,Smith,504-583-9711,,2009-06-15T13:45:33,2009-06-15T13:45:43
8665977,2006783,Meagan, Williams,610-450-5211,4,8,SDSU,Erin,Echeverria,203-999-2064,,2009-06-15T13:45:34,2009-06-15T13:45:44
4529295,2006783,Timothy,Daniels,903-758-7117,7,17,UCI,Erin,Echeverria,203-999-2065,,2009-06-15T13:45:35,2009-06-15T13:45:45
1117256,2006783,June ,Barrera,814-703-7486,12,12,UCI,Erin,Echeverria,203-999-2066,,2009-06-15T13:45:36,2009-06-15T13:45:46
8598306,2319275,Victor,Hill,540-437-8625,4,11,UCLA,James ,Moreno,225-404-6414,,2009-06-15T13:45:37,2009-06-15T13:45:47
9278092,6294121,Deborah,Phelps,248-529-5459,6,15,UCSD,Craig,Valenzuela,919-692-6553,,2009-06-15T13:45:38,2009-06-15T13:45:48
4508754,8572181,Terry,Theriot ,626-378-1313,4,10,UCR,Meaghan ,Washington,570-928-1844,,2009-06-15T13:45:39,2009-06-15T13:45:49
