id,FirstName,LastName,Phone,Age,Email,Subscribed,LiabilityForm,Start,Hours,Student,School,GuardianId,GuardianFirstName,GuardianLastName
1,Marvel,Hand,858-693-9471,65+,MarvelTHand@armyspy.com,T,T,None,0,F,None,None,None,None
2,Ben,Hand,858-693-9472,11-17,MarvelTHand@armyspy.com,T,T,None,4,T,DBH,1,Marvel,Hand
3,Alan,Hand,858-693-9473,11-18,MarvelTHand@armyspy.com,T,T,None,8,T,DBH,1,Marvel,Hand
4,Chris,Hand,858-693-9474,11-19,MarvelTHand@armyspy.com,T,T,None,2,T,DBH,1,Marvel,Hand
5,Sarah,Hand,858-693-9475,11-20,MarvelTHand@armyspy.com,T,T,None,0,T,DBH,1,Marvel,Hand
6,Kathy,Bingham,212-938-0464,65+,KathyCBingham@inbound.plus,T,T,None,2,F,None,None,None,None
7,Carter,Smith,504-583-9708,65+,CarterASmith@inbound.plus,F,F,None,2,F,None,None,None,None
8,Erin,Echeverria,203-999-2064,65+,ErinJEcheverria@inbound.plus,T,T,None,4,F,None,None,None,None
9,James ,Moreno,225-404-6414,65+,JamesEMoreno@inbound.plus,T,T,None,5,F,None,None,None,None
10,Craig,Valenzuela,919-692-6553,65+,CraigMValenzuela@inbound.plus,T,T,None,7,F,None,None,None,None
11,Meaghan ,Washington,570-928-1844,65+,MeaghanLWashington@inbound.plus,F,T,None,8,F,None,None,None,None
12,Jose,Rodriguez,203-385-0556,65+,JoseDRodriguez@inbound.plus,F,T,None,1,F,None,None,None,None
